"USC00148156","TONGANOXIE, KS US","1978-03-04",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-05",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-06",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-07",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-08",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-09",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-10",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-11",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-12",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-13",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-14",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-15",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-16",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-17",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-18",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-19",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-20",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-21",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-22",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-23",,,"0.32",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-24",,,"1.05",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-25",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-26",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-27",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-28",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-29",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-30",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-03-31",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-01",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-02",,,"0.05",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-03",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-04",,,"0.10",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-05",,,"0.28",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-06",,,"0.58",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-07",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-08",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-09",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-10",,,"1.10",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-11",,,"0.07",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-12",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-13",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-14",,,"0.05",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-15",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-16",,,"0.44",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-17",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-18",,,"0.08",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-19",,,"0.14",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-20",,,"0.00",,,,,,,,,,,
"USC00148156","TONGANOXIE, KS US","1978-04-21",,,"0.00",,,,,,,,,,,
